Country,Population,Yearly Change,Net Change,Density,World Share
India,1476625576,0.87%,"12,760,051",497,"2,973,190"
China,1412914089,-0.22%,"-3,182,005",150,"9,388,211"
United States,349035494,0.51%,"1,759,687",38,"9,147,420"
Indonesia,287886782,0.76%,"2,165,546",159,"1,811,570"
Pakistan,259299791,1.6%,"4,080,237",336,"770,880"
Nigeria,242431832,2.06%,"4,904,050",266,"910,770"
Brazil,213562666,0.35%,"750,261",26,"8,358,140"
Bangladesh,177818044,1.21%,"2,131,145",1366,"130,170"
Russia,143394458,-0.42%,"-602,935",9,"16,376,870"
Ethiopia,138902185,2.53%,"3,430,134",139,"1,000,000"
Mexico,132997658,0.8%,"1,050,758",68,"1,943,950"
Japan,122427731,-0.55%,"-675,748",336,"364,555"
Egypt,120101175,1.47%,"1,735,180",121,"995,450"
Philippines,117724471,0.8%,"937,509",395,"298,170"
DR Congo,116452162,3.21%,"3,619,689",51,"2,267,050"
Vietnam,102177431,0.57%,"578,904",330,"310,070"
Iran,93168497,0.81%,"750,816",57,"1,628,550"
Turkey,87926082,0.27%,"240,656",114,"769,630"
Germany,83644258,-0.51%,"-430,817",240,"348,560"
Tanzania,72563780,2.86%,"2,017,915",82,"885,800"
Thailand,71559614,-0.08%,"-60,249",140,"510,890"
United Kingdom,69931528,0.55%,"380,196",289,"241,930"
France,66746401,0.14%,"95,597",122,"547,557"
South Africa,65453084,1.09%,"705,765",54,"1,213,090"
Italy,58926166,-0.37%,"-220,094",200,"294,140"
Kenya,58636412,1.92%,"1,103,919",103,"569,140"
Myanmar,55184819,0.61%,"334,171",84,"653,290"
Colombia,53936226,0.96%,"510,591",49,"1,109,500"
Sudan,53282719,3.14%,"1,620,572",30,"1,765,048"
Uganda,52761469,2.68%,"1,376,575",264,"199,810"
South Korea,51600388,-0.13%,"-66,641",531,"97,230"
Algeria,48028334,1.25%,"593,022",20,"2,381,740"
Iraq,48007437,2.1%,"986,663",111,"434,320"
Spain,47850793,-0.08%,"-39,165",96,"498,800"
Argentina,46003734,0.33%,"152,356",17,"2,736,690"
Afghanistan,45047069,2.74%,"1,202,958",69,"652,860"
Yemen,42961653,2.84%,"1,187,775",81,"527,970"
Canada,40467728,0.85%,"341,005",4,"9,093,510"
Angola,40215179,3.01%,"1,175,140",32,"1,246,700"
Ukraine,39535849,1.43%,"555,473",68,"579,320"
Morocco,38762441,0.86%,"331,671",87,"446,300"
Poland,37843188,-0.78%,"-297,722",124,"306,230"
Uzbekistan,37724223,1.81%,"670,795",89,"425,400"
Mozambique,36639851,2.83%,"1,008,198",47,"786,380"
Malaysia,36385115,1.13%,"407,277",111,"328,550"
Ghana,35697557,1.81%,"633,285",157,"227,540"
Saudi Arabia,35165787,1.73%,"599,459",16,"2,149,690"
Peru,34922148,1%,"345,483",27,"1,280,000"
Madagascar,33522052,2.39%,"781,374",58,"581,795"
C̫te d'Ivoire,33494346,2.39%,"782,799",105,"318,000"
Cameroon,30640817,2.55%,"761,480",65,"472,710"
Nepal,29629410,0.04%,"11,292",207,"143,350"
Niger,28814878,3.21%,"897,047",23,"1,266,700"
Venezuela,28633711,0.41%,"116,815",32,"882,050"
Australia,27227096,0.94%,"253,070",4,"7,682,300"
North Korea,26633691,0.24%,"62,655",221,"120,410"
Syria,26472497,3.33%,"852,070",144,"183,630"
Mali,25932275,2.91%,"733,454",21,"1,220,190"
Burkina Faso,24601700,2.19%,"527,120",90,"273,600"
Sri Lanka,23348315,0.51%,"118,845",372,"62,710"
Taiwan,23011292,-0.44%,"-101,501",650,"35,410"
Malawi,22785535,2.56%,"569,415",242,"94,280"
Zambia,22521915,2.77%,"608,041",30,"743,390"
Chad,21560380,2.65%,"556,675",17,"1,259,200"
Kazakhstan,21083626,1.15%,"239,872",8,"2,699,700"
Somalia,20305907,3.31%,"651,168",32,"627,340"
Chile,19945850,0.43%,"85,929",27,"743,532"
Senegal,19366548,2.3%,"434,582",101,"192,530"
Guatemala,18967978,1.5%,"280,097",177,"107,160"
Romania,18800605,-0.57%,"-108,045",82,"230,170"
Netherlands,18448775,0.56%,"101,956",547,"33,720"
Ecuador,18444506,0.85%,"154,610",74,"248,360"
Cambodia,18051219,1.14%,"203,237",102,"176,520"
Zimbabwe,17273580,1.9%,"322,785",45,"386,850"
Guinea,15441993,2.27%,"342,266",63,"245,720"
Benin,15170419,2.4%,"355,959",135,"112,760"
Rwanda,14889693,2.2%,"320,352",604,"24,670"
Burundi,14729157,2.36%,"339,154",574,"25,680"
Bolivia,12749291,1.33%,"167,448",12,"1,083,300"
South Sudan,12436037,2.03%,"247,249",20,"610,952"
Tunisia,12415138,0.54%,"66,565",80,"155,360"
Haiti,12037506,1.1%,"131,411",437,"27,560"
Belgium,11774642,0.14%,"16,039",389,"30,280"
Dominican Republic,11609500,0.77%,"89,013",240,"48,320"
Jordan,11589532,0.6%,"68,848",131,"88,780"
United Arab Emirates,11574682,2.02%,"228,682",138,"83,600"
Honduras,11184760,1.63%,"178,910",100,"111,890"
Tajikistan,10978599,1.78%,"191,865",78,"139,960"
Papua New Guinea,10947848,1.72%,"185,031",24,"452,860"
Cuba,10892659,-0.41%,"-44,544",102,"106,440"
Sweden,10701047,0.42%,"44,414",26,"410,340"
Czech Republic (Czechia),10527781,-0.77%,"-81,458",136,"77,240"
Azerbaijan,10454855,0.55%,"57,142",126,"82,658"
Portugal,10395362,-0.16%,"-16,472",113,"91,590"
Togo,9930918,2.15%,"209,310",183,"54,390"
Greece,9897115,-0.42%,"-41,729",77,"128,900"
Israel,9647689,1.37%,"130,508",446,"21,640"
Hungary,9585818,-0.48%,"-46,469",106,"90,530"
Austria,9107266,-0.07%,"-6,308",111,"82,409"
Switzerland,9007798,0.45%,"40,391",228,"39,516"
Sierra Leone,8996745,2.01%,"176,951",125,"72,180"
Belarus,8937018,-0.67%,"-60,585",44,"202,910"
Laos,7974017,1.28%,"100,971",35,"230,800"
Turkmenistan,7736632,1.55%,"117,785",16,"469,930"
Libya,7539851,1.09%,"81,296",4,"1,759,540"
Kyrgyzstan,7400465,1.45%,"105,431",39,"191,800"
Hong Kong,7378602,-0.24%,"-17,474",7027,"1,050"
Nicaragua,7097329,1.28%,"89,827",59,"120,340"
Paraguay,7095279,1.17%,"82,201",18,"397,300"
Bulgaria,6667659,-0.7%,"-46,901",61,"108,560"
Serbia,6641964,-0.7%,"-47,075",76,"87,460"
Congo,6637785,2.36%,"153,348",19,"341,500"
El Salvador,6391253,0.4%,"25,750",308,"20,720"
Denmark,6023520,0.35%,"21,013",142,"42,430"
Singapore,5905748,0.6%,"34,998",8437,700
Lebanon,5897467,0.82%,"48,046",576,"10,230"
Liberia,5853949,2.14%,"122,743",61,"96,320"
Central African Republic,5698984,3.37%,"185,702",9,"622,980"
State of Palestine,5692790,1.85%,"103,167",946,"6,020"
Oman,5671458,3.22%,"176,767",18,"309,500"
Norway,5652989,0.53%,"29,918",15,"365,268"
Finland,5621739,-0.03%,"-1,590",18,"303,890"
Mauritania,5461319,2.75%,"146,254",5,"1,030,700"
Slovakia,5451342,-0.43%,"-23,539",113,"48,088"
Ireland,5356950,0.92%,"48,911",78,"68,890"
New Zealand,5287479,0.68%,"35,580",20,"263,310"
Costa Rica,5174789,0.42%,"21,839",101,"51,060"
